ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
PETR4,True,2491,61,9,21,42.5,580698177536.0,,
PETR3,True,2491,50,9,17,48.150001525878906,620592496640.0,,
VALE3,True,2491,38,9,19,76.30999755859375,324757225472.0,,
ITUB4,True,2491,274,9,19,42.099998474121094,464020799488.0,,
ITUB3,True,2491,279,9,20,44.75,493205815296.0,,
BBAS3,True,2491,129,9,19,20.989999771118164,119829250048.0,,
BBDC4,True,2491,267,10,19,18.219999313354492,198100385792.0,,
BBDC3,True,2491,267,10,19,15.949999809265137,180995014656.0,,
BBSE3,True,2491,28,9,14,42.06999969482422,81668325376.0,,
WEGE3,True,2491,108,9,19,49.16999816894531,206308933632.0,,
ABEV3,True,2491,53,9,20,15.869999885559082,245235859456.0,,
TAEE11,True,2491,59,9,19,39.88999938964844,41226313728.0,,
EGIE3,True,2491,54,10,20,30.1299991607666,42675576832.0,,
CSMG3,True,2491,67,9,17,63.90999984741211,24233486336.0,,
RANI3,True,2491,47,9,18,8.34000015258789,1917333632.0,,
CMIG4,True,2491,52,10,17,11.279999732971191,32268492800.0,,
CPLE6,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
KLBN11,True,2491,47,9,13,18.25,129685618688.0,,
SUZB3,True,2491,22,10,17,43.02000045776367,53107621888.0,,
RENT3,True,2491,87,9,20,39.09000015258789,43179397120.0,,
MGLU3,True,2491,17,9,14,4.920000076293945,3816239616.0,,
LREN3,True,2491,78,9,19,13.670000076293945,13140741120.0,,
RAIL3,True,2491,5,9,11,14.119999885559082,26202454016.0,,
B3SA3,True,2491,83,9,19,15.699999809265137,78473289728.0,,
ALPA4,True,2491,43,9,18,12.470000267028809,8469656064.0,,
ASAI3,True,1356,8,9,6,8.65999984741211,11590381568.0,,
AURE3,True,1088,5,9,5,11.279999732971191,11783483392.0,,
AZUL4,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BEEF3,True,2491,13,9,13,3.619999885559082,3587937280.0,,
BPAC11,True,2351,23,9,10,56.75,191222530048.0,,
BRAP4,True,2491,34,9,18,21.8700008392334,8597022720.0,,
MBRF3,True,2491,11,9,14,16.93000030517578,23407024128.0,,
BRKM5,True,2491,16,9,19,5.829999923706055,4646325760.0,,
BRSR6,True,2491,89,9,17,14.15999984741211,5791078400.0,,
CCRO3,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
CMIG3,True,2491,55,10,19,16.34000015258789,46743543808.0,,
CMIN3,True,1361,17,9,6,5.909999847412109,31928393728.0,,
COGN3,True,2491,30,9,14,2.259999990463257,4522778112.0,,
CPFE3,True,2491,26,9,18,46.349998474121094,53406994432.0,,
CPLE3,True,2491,36,9,21,14.930000305175781,44336283648.0,,
CSAN3,True,2491,22,9,19,4.050000190734863,15974685696.0,,
CSNA3,True,2491,28,9,19,4.789999961853027,6351989760.0,,
CURY3,True,1461,17,9,7,31.75,9780510720.0,,
CYRE3,True,2491,21,9,17,21.350000381469727,7821505536.0,,
DIRR3,True,2491,22,9,17,11.6899995803833,6078843904.0,,
DXCO3,True,2491,30,9,19,5.090000152587891,4620962304.0,,
ECOR3,True,2491,21,9,17,7.110000133514404,4945867264.0,,
